Field ID,UTYPE,UCD,Description,FITS,CSV,DataType,ArraySize,Unit,SlapUnit,Hint,Default
,,,,,,,,,,,
QueryScore,slap:QueryScore,,Line ranking “more closely matches the query parameters”,,,,,,,,
,,,,,,,,,,,
wavelength,ssldm:Line.wavelength.value,em.wl,the wavelength in the vacuum of the transition originating the line,,,double,,m,,,
title,ssldm:Line.title,em.line,small description identifying the line,,,char,*,,,,
status,ssldm:Line.identificationStatus,,identification status of the line,,,char,*,,,,
species,ssldm:Line.species.name,phys.atmol.element,name of the chemical element source of this line,,,char,*,,,,
initialLevelName,ssldm:Line.initialLevel.name,phys.atmol.initial;phys.atmol.level,description of the initial level of the transition originating the line,,,char ,*,,,,
finalLevelName,ssldm:Line.finalLevel.name,phys.atmol.final;phys.atmol.level,description of the final level of the transition originating the line,,,char ,*,,,,
obsWavelength,ssldm:Line.observedWavelength.value,em.wl,observed wavelength in the vacuum of the transition originating the line in meters,,,double,,m,,,
initialLevelEnergy,ssldm:Line.initialLevel.energy.value,phys.energy;phys.atmol.initial;phys.atmol.level,energy for the INITIAL level of the transition,,,double,,J,,,
finalLevelEnergy,ssldm:Line.finalLevel.energy.value,phys.energy;phys.atmol.final;phys.atmol.level,energy for the FINAL level of the transition,,,double,,J,,,
initialLevelConfiguration,ssldm:Line.initialLevel.configuration,,Description of the electron configuration of the initial level of the line,,,char ,*,,,,
finalLevelConfiguration,ssldm:Line.finalLevel.configuration,,describing the electron configuration of the final level of the line,,,char ,*,,,,
initialLevelState,ssldm:Line.initialLevel.quantumState,,Description of the quantum state of the initial level in a parseable string representation,,,char ,*,,,,
finalLevelState,ssldm:Line.finalLevel.quantumState,,Description of the quantum state of the final level in a parseable string representation,,,char ,*,,,,
,,,,,,,,,,,
processName,ssldm:Process.name,,description of the physical processes responsible for the generation of for the modification of its physical properties,,,char ,*,,,,
,,,,,,,,,,,
,,,,,,,,,,,
targetName,Target.Name,,short string identifying the observed astronomical object, suitable for input to a name resolver,,,char ,*,,,,
,,,,,,,,,,,
location,char:SpatialAxis.Coverage.Location.Value,pos,observation position of the observation in the format: ra dec, white space separated and both in deg,,,double,*,deg,,,
coverageStart,char:TimeAxis.Coverage.Bounds.Start,time.start;obs.exposure,start time for the observation in MJD with units of days,,,char ,*,,,,
coverageStop,char:TimeAxis.Coverage.Bounds.Stop,time.stop;obs.exposure,end time for the observation in MJD with units of days,,,char ,*,,,,
,,,,,,,,,,,
bibcode,,meta.bib,,,,char,*,,,,
referenceURL,,meta.ref.url,,,,char,*,,,,
