Field ID,Type,UTYPE,UCD,Description,FITS,CSV,DataType,ArraySize,Unit,SsapUnit,Hint,Default
## ACCESS Model,,,,,,,,,,,,
,Query,Query,,Query Metadata,,,,,,,Q,
query_score,Double,Query.Score,,Degree of match to query parameters,,,float,,,,Q,
query_token,String,Query.Token,,Continuation token for large queries,,,char,*,,,Qp,
,,,,,,,,,,,,
,Association,Association,,Association Metadata,,,,,,,Q,
assoc_type,String,Association.Type,,Type of association,,,char,*,,,Qp,
assoc_id,String,Association.ID,meta.id,Association identifier,,,char,*,,,Qm,
assoc_key,String,Association.Key,,Key used to distinguish association elements,,,char,*,,,Q,
,,,,,,,,,,,,
,Access,Access,,Access Metadata,,,,,,,Q,
access_url,URL,Access.Reference,meta.ref.url,URL used to access dataset,,,char,*,,,Qm,
access_format,String,Access.Format,,Content or MIME type of dataset,,,char,*,,,Qm,
access_estsize,Long,Access.Size,meta.number,Estimated dataset size,,,long,,,kilobytes,Qq,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Dataset,Dataset,,General Dataset Metadata,,,,,,,,
datamodel_name,String,Dataset.DataModel.Name,meta.id,Data model name and version,VOCLASS,,char,*,,,mp,
datamodel_prefix,String,Dataset.DataModel.Prefix,meta.id,Data model prefix,,,char,*,,,qp,
datamodel_url,String,Dataset.DataModel.URL,meta.ref.url,Reference URL for data model,,,char,*,,,p,
dataproduct_type,String,Dataset.Type,,Dataset type,,,char,*,,,mp,
dataproduct_subtype,String,Dataset.Subtype,,Dataset subtype (external type),,,char,*,,,q,
calib_level,Long,Dataset.CalibLevel,,Calibration level,,,long,,,,m,
dataset_length,Long,Dataset.Length,meta.number,Number of pixels,,3;@ID,long,,,,q,
dataset_deleted,String,Dataset.Deleted,,Set if dataset is deleted,,,char,*,,,,
,,,,,,,,,,,,
,,Spectrum,,Spectrum Metadata,,,,,,,,
spec_timesi,String,Spectrum.TimeSI,,SI factor and dimensions,TIMESDIM,,char,*,,,q,
spec_specsi,String,Spectrum.SpectralSI,,SI factor and dimensions,SPECSDIM,,char,*,,,q,
spec_fluxsi,String,Spectrum.FluxSI,,SI factor and dimensions,FLUXSDIM,,char,*,,,q,
spec_spectral_axis,String,Spectrum.SpectralAxis,,Table column containing spectral coord,,,char,*,,,q,
spec_flux_axis,String,Spectrum.FluxAxis,,Table column containing flux values,,,char,*,,,q,
,,,,,,,,,,,,
,DataID,DataID,,Dataset Identification Metadata,,,,,,,,
obs_title,String,DataID.Title,meta.title;meta.dataset,Dataset Title,TITLE,1;@ID,char,*,,,m,
obs_creator_name,String,DataID.Creator,meta.curation,Dataset creator,AUTHOR,,char,*,,,q,
obs_collection,String,DataID.Collection,,Data collection to which dataset belongs,COLLECT,2;@ID,char,*,,,m,
obs_id,,DataID.ObservationID,,Unique observation ID shared by all obs datasets,,,,,,,q,
obs_dataset_did,URI,DataID.DatasetDID,meta.id;meta.dataset,IVOA Dataset ID,DS_IDENT,,char,*,,,,
obs_creator_did,URI,DataID.CreatorDID,meta.id,Creator's ID for the dataset,CR_IDENT,,char,*,,,q,
obs_creation_date,String,DataID.Date,time.epoch;meta.dataset,Data processing/creation date,DATE,,char,*,,,q,
obs_version,String,DataID.Version,meta.version;meta.dataset,Version of dataset,VERSION,,char,*,,,,
obs_creation_type,String,DataID.CreationType,,Dataset creation type,CRETYPE,,char,*,,,q,
obs_logo,URL,DataID.Logo,meta.ref.url,URL for creator logo,VOLOGO,,char,*,,,,
obs_contributor,String,DataID.Contributor,,Contributor,CONTRIB,,char,*,,,,
,,,,,,,,,,,,
,Provenance,Provenance,,Provenance Metadata,,,,,,,,
facility_name,,Provenance.ObsConfig.Facility.name,,,,,,,,,q,
instrument_name,String,Provenance.ObsConfig.Instrument.name,meta.id;instr,Instrument name,INSTRUME,,char,*,,,m,
obs_bandpass,String,Provenance.ObsConfig.Bandpass,instr.bandpass,Spectral bandpass name or names,SPECBAND,,char,*,,,q,
obs_datasource,String,Provenance.ObsConfig.DataSource,,Original source of the data,DSSOURCE,,char,*,,,q,
proposal_id,String,Provenance.Proposal.Identifier,,Proposal if any dataset is associated with,,,char,*,,,,
,,,,,,,,,,,,
,Curation,Curation,,Curation Metadata,,,,,,,,
publisher,String,Curation.Publisher,meta.curation,Dataset publisher,VOPUB,,char,*,,,,
publisher_id,String,Curation.PublisherID,meta.ref.url;meta.curation,URI for VO Publisher,VOPUBID,,char,*,,,,
obs_publisher_did,URI,Curation.PublisherDID,meta.ref.url;meta.curation,Publisher's ID for the dataset ID,DS_IDPUB,14;@ID,char,*,,,m,
obs_release_date,String,Curation.ReleaseDate,,Dataset release date,VODATE,,char,*,,,q,
preview,String,Curation.Preview,meta.ref.url,URL of preview graphic for dataset,,,,,,,q,
version,String,Curation.Version,meta.version;meta.curation,Publisher's version of the dataset,VOVER,,char,*,,,,
data_rights,String,Curation.Rights,meta.code,Restrictions on data access,VORIGHTS,,char,*,,,,
bib_reference,String,Curation.Reference,meta.bib.bibcode,URL or Bibcode for documentation,VOREF,,char,*,,,,
